anio;mes;pais_cod;pais_descri;cif
2021;02;101;BURKINA FASO;8105.87
2022;02;101;BURKINA FASO;8181.33
2021;09;101;BURKINA FASO;8210.02
2021;01;101;BURKINA FASO;4790.13
2022;07;101;BURKINA FASO;18094.85
2022;05;102;ARGELIA;31675472.66
2021;07;102;ARGELIA;17059138.49
2022;08;102;ARGELIA;22291746.37
2021;09;102;ARGELIA;12116161.58
2022;09;102;ARGELIA;361776.66
2021;05;102;ARGELIA;407024.67
2022;02;102;ARGELIA;155308.86
2022;06;102;ARGELIA;36339598.36
2022;07;102;ARGELIA;89644310.05
2022;01;102;ARGELIA;220031.71
2021;06;102;ARGELIA;43785.75
2021;11;102;ARGELIA;77396.58
2022;04;102;ARGELIA;301053.95
2021;04;102;ARGELIA;133717.03
2022;10;102;ARGELIA;143782.23
2022;11;102;ARGELIA;173.67
2021;03;102;ARGELIA;52806.48
2021;01;102;ARGELIA;7978022.04
2021;12;102;ARGELIA;1011807.25
2021;02;102;ARGELIA;407.09
2021;08;102;ARGELIA;7814741.18
2022;03;103;BOTSWANA;37.33
2021;03;104;BURUNDI;3694.86
2022;11;105;CAMERUN;141.63
2022;03;105;CAMERUN;51.34
2021;12;105;CAMERUN;6299.33
2022;09;105;CAMERUN;49.86
2022;06;105;CAMERUN;85518.17
2021;04;105;CAMERUN;52763.58
2022;01;105;CAMERUN;117379.11
2021;03;105;CAMERUN;76790.4
2021;07;105;CAMERUN;98270.65
2021;10;105;CAMERUN;80805.52
2022;07;105;CAMERUN;35.16
2022;04;105;CAMERUN;13410.94
2021;11;105;CAMERUN;68348.45
2021;05;105;CAMERUN;1006.48
2021;08;107;REP. CENTROAFRICANA;195.27
2022;04;107;REP. CENTROAFRICANA;282.5
2021;01;108;CONGO;857.74
2021;12;108;CONGO;25830764.12
2021;03;108;CONGO;3142.5
2021;06;108;CONGO;31.29
2022;03;108;CONGO;181.47
2021;09;108;CONGO;478.99
2021;07;108;CONGO;28952241.09
2022;02;108;CONGO;27831403.51
2022;06;108;CONGO;611.74
2022;04;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);246.43
2021;09;109;REP.DEMOCRATICA DEL CONGO(EX ZAIRE);375.8
2022;02;110;Cote d'Ivoire;37234.11
2022;07;110;Cote d'Ivoire;105659.61
2021;12;110;Cote d'Ivoire;91640.25
2021;06;110;Cote d'Ivoire;6498125.26
2021;03;110;Cote d'Ivoire;193319.9
2022;08;110;Cote d'Ivoire;38904.73
2022;04;110;Cote d'Ivoire;226956.29
2022;05;110;Cote d'Ivoire;204224.69
2021;11;110;Cote d'Ivoire;409199.64
2022;03;110;Cote d'Ivoire;304741.41
2022;06;110;Cote d'Ivoire;81651.02
2021;07;110;Cote d'Ivoire;183464.24
2021;09;110;Cote d'Ivoire;376876.63
2022;09;110;Cote d'Ivoire;38292.91
2021;08;110;Cote d'Ivoire;188360.94
2021;10;110;Cote d'Ivoire;110730.48
2021;02;110;Cote d'Ivoire;230394.83
2021;04;110;Cote d'Ivoire;143515.38
2022;01;110;Cote d'Ivoire;229210.85
2022;11;110;Cote d'Ivoire;248266.36
2021;05;110;Cote d'Ivoire;366170.94
2022;10;110;Cote d'Ivoire;123678.41
2021;06;112;BENIN;4364.7
2022;08;112;BENIN;7043.93
2022;10;112;BENIN;171.03
2022;09;112;BENIN;4737.27
2021;08;112;BENIN;79.25
2022;02;112;BENIN;961.74
2022;05;112;BENIN;772.31
2021;05;112;BENIN;21257.81
2022;07;112;BENIN;7504.45
2022;01;112;BENIN;5626.71
2022;04;112;BENIN;6967.92
2022;11;112;BENIN;15.12
2021;12;112;BENIN;60.14
2021;10;112;BENIN;10.9
2022;03;112;BENIN;519.25
2022;04;113;EGIPTO;23570420.27
2021;05;113;EGIPTO;29189965.22
2022;01;113;EGIPTO;9343821.32
2022;07;113;EGIPTO;19596570.17
2021;12;113;EGIPTO;11014128.01
2022;10;113;EGIPTO;18047179.08
2021;10;113;EGIPTO;93260040.75
2022;11;113;EGIPTO;20143737.53
2021;01;113;EGIPTO;13669052.24
2022;06;113;EGIPTO;24827415.82
2022;08;113;EGIPTO;22688407.08
2021;08;113;EGIPTO;42144968.93
2021;02;113;EGIPTO;15273346.32
2022;09;113;EGIPTO;26992489.38
2021;06;113;EGIPTO;52704215.79
2021;04;113;EGIPTO;4769584.91
2022;03;113;EGIPTO;8902428.07
2022;02;113;EGIPTO;11296898.4
2021;09;113;EGIPTO;99872685.72
2021;11;113;EGIPTO;106768552.54
2021;07;113;EGIPTO;88138209.14
2022;05;113;EGIPTO;237315996.12
2021;03;113;EGIPTO;18263482.55
2022;04;115;GABON;133147.57
2022;03;115;GABON;65327.04
2021;04;115;GABON;103307.77
2022;07;115;GABON;83916.93
2022;02;115;GABON;11568.23
2021;01;115;GABON;64674.02
2022;08;115;GABON;215861.92
2021;05;115;GABON;735.91
2022;06;115;GABON;58830.5
2022;10;115;GABON;55440.31
2022;09;115;GABON;81275.46
2021;11;115;GABON;58144.72
2021;10;115;GABON;299669.94
2021;03;115;GABON;111694.92
2021;02;115;GABON;499.74
2021;09;115;GABON;24092.6
2021;06;115;GABON;75131.04
2022;07;116;GAMBIA;543.51
2022;09;116;GAMBIA;641.37
2022;02;116;GAMBIA;6.05
2022;06;116;GAMBIA;821.96
2021;09;116;GAMBIA;61.12
2021;11;116;GAMBIA;17.32
2022;10;116;GAMBIA;1276.24
2022;07;117;GHANA;112328.24
2021;07;117;GHANA;126897.31
2021;04;117;GHANA;175555.97
2021;12;117;GHANA;159918.68
2021;10;117;GHANA;195158.59
2022;11;117;GHANA;241027.79
2021;02;117;GHANA;248131.38
2021;09;117;GHANA;161671.1
2022;03;117;GHANA;147733.15
2022;01;117;GHANA;307900.35
2021;05;117;GHANA;80323.28
2022;02;117;GHANA;52293.47
2022;09;117;GHANA;158484.96
2021;11;117;GHANA;309108.07
2022;04;117;GHANA;189306.8
2022;08;117;GHANA;485326.5
2021;06;117;GHANA;194619.28
2021;08;117;GHANA;234515.13
2022;10;117;GHANA;124145.8
2022;06;117;GHANA;359094.59
2021;03;117;GHANA;69343.72
